booking_id,user_id,vehicle_model_id,package_id,travel_type_id,from_area_id,to_area_id,from_city_id,to_city_id,from_date,to_date,online_booking,mobile_site_booking,booking_created,from_lat,from_long,to_lat,to_long,Car_Cancellation
51,22404,12,,2,1086,852,,,1/6/2013 0:57,,0,0,1/5/2013 21:48,12.907487,77.64729,12.98758,77.60512,0
52,756,12,,2,603,83,,,1/5/2013 23:31,,0,0,1/5/2013 22:47,12.97357,77.61043,12.92415,77.67229,0
53,22412,12,,1,344,,15,160,1/6/2013 7:55,1/6/2013 8:00,0,0,1/5/2013 23:51,12.94788,77.67092,,,0
54,22416,65,,2,452,393,,,1/6/2013 12:57,,0,0,1/6/2013 1:27,12.95278,77.59088,13.19956,77.70688,0
55,22417,12,,2,1038,393,,,1/6/2013 13:40,,0,0,1/6/2013 3:32,12.981266,77.637162,13.19956,77.70688,0
56,19900,12,,2,1111,1349,,,1/6/2013 8:38,,0,0,1/6/2013 7:19,12.90796,77.62418,12.993686,77.587527,0
57,4099,12,,2,393,542,,,1/7/2013 5:31,,0,0,1/6/2013 7:56,13.19956,77.70688,12.93823,77.62289,0
58,21901,12,2,3,58,,,,1/6/2013 12:00,1/6/2013 0:00,1,0,1/6/2013 8:31,12.88963,77.60119,,,0
59,22422,12,1,3,450,,,,1/6/2013 12:57,,0,0,1/6/2013 8:42,12.9334,77.62652,,,0
60,22424,12,,2,433,1084,,,1/6/2013 16:33,,0,0,1/6/2013 9:19,12.91226,77.59773,12.892657,77.581866,0
61,21727,85,,2,393,793,,,1/6/2013 21:36,,0,0,1/6/2013 12:07,13.19956,77.70688,13.02239,77.59492,0
62,22434,12,,2,561,393,,,1/7/2013 19:55,,0,0,1/6/2013 12:11,13.00983,77.62967,13.19956,77.70688,0
63,22437,12,,2,448,1192,,,1/6/2013 18:57,,0,0,1/6/2013 13:11,12.92732,77.63575,12.97677,77.5727,0
64,7500,28,2,3,112,,,,1/6/2013 15:07,,0,0,1/6/2013 13:12,12.93331,77.56666,,,0
65,22440,23,,2,1379,393,,,1/6/2013 17:02,,1,0,1/6/2013 14:01,13.062088,77.473672,13.19956,77.70688,0
66,22442,85,,2,1181,393,,,1/6/2013 17:16,,0,0,1/6/2013 14:05,12.97896,77.67345,13.19956,77.70688,0
67,22448,12,,2,1056,1021,,,1/6/2013 18:57,,0,0,1/6/2013 16:46,12.919199,77.60931,13.02853,77.54625,0
68,22236,12,,2,393,949,,,1/7/2013 4:19,,1,0,1/6/2013 16:53,13.19956,77.70688,12.98275,77.61582,0
69,15800,12,,2,689,601,,,1/6/2013 18:57,,0,0,1/6/2013 17:13,12.97672,77.64927,13.02434,77.56593,0
70,22456,12,,2,1189,1384,,,1/7/2013 8:24,1/8/2013 0:00,1,0,1/6/2013 20:10,12.91873,77.61494,13.02853,77.54625,0
71,22460,12,,2,1059,393,,,1/7/2013 6:14,,0,0,1/6/2013 20:49,12.90881,77.631127,13.19956,77.70688,0
72,17008,12,,2,1084,1384,,,1/7/2013 9:21,,0,0,1/6/2013 22:10,12.892657,77.581866,13.02853,77.54625,0
73,22321,12,,2,1333,393,,,1/9/2013 6:28,,0,0,1/6/2013 23:04,12.895675,77.602293,13.19956,77.70688,0
74,22466,12,,2,601,681,,,1/7/2013 8:24,,0,0,1/7/2013 7:36,13.02434,77.56593,13.09925,77.38845,0
75,16239,12,,2,1017,1334,,,1/7/2013 10:04,,1,0,1/7/2013 8:26,13.11084,77.60074,13.050994,77.593661,0
76,22470,12,,2,571,168,,,1/7/2013 12:43,,0,0,1/7/2013 8:36,12.95185,77.69642,12.99313,77.59828,0
77,4227,12,,2,339,392,,,1/7/2013 9:50,,0,0,1/7/2013 8:40,12.91028,77.64512,12.986284,77.735245,0
78,22471,12,,2,297,1389,,,1/7/2013 10:04,,1,0,1/7/2013 8:47,12.99789,77.61488,12.919785,77.577031,0
79,22476,65,,2,410,393,,,1/8/2013 15:07,,0,0,1/7/2013 10:42,13.05121,77.54113,13.19956,77.70688,0
80,22372,12,,2,846,585,,,1/7/2013 15:07,,0,0,1/7/2013 10:58,12.98635,77.58203,12.97677,77.5727,0
81,22212,12,,2,393,1096,,,1/9/2013 11:45,,1,0,1/7/2013 11:07,13.19956,77.70688,12.96519,77.71932,0
82,19280,12,,2,1063,156,,,1/7/2013 12:43,,0,0,1/7/2013 11:19,12.934477,77.611284,13.02622,77.70143,0
83,22481,12,,2,83,529,,,1/7/2013 16:33,,0,0,1/7/2013 12:33,12.92415,77.67229,12.93615,77.61322,0
84,16801,12,1,3,1054,,,,1/7/2013 16:04,1/7/2013 0:00,1,0,1/7/2013 12:34,12.90184,77.581587,,,0
85,868,85,,2,561,393,,,1/7/2013 17:02,,0,0,1/7/2013 12:49,13.00983,77.62967,13.19956,77.70688,0
86,22482,12,,2,1373,393,,,1/7/2013 15:50,,0,0,1/7/2013 13:12,13.037255,77.58166,13.19956,77.70688,0
87,22486,12,,2,293,83,,,1/7/2013 15:21,,0,0,1/7/2013 14:16,12.849482,77.663187,12.92415,77.67229,0
88,18476,12,,2,220,393,,,1/8/2013 3:50,,1,0,1/7/2013 15:31,12.99722,77.62003,13.19956,77.70688,0
89,22484,12,,2,625,758,,,1/7/2013 16:19,,0,0,1/7/2013 16:02,12.95431,77.6553,12.98768,77.59851,0
90,15676,12,,2,393,1096,,,1/7/2013 22:33,,0,0,1/7/2013 16:08,13.19956,77.70688,12.96519,77.71932,0
91,22486,28,,2,83,393,,,1/7/2013 17:02,,0,0,1/7/2013 16:11,12.92415,77.67229,13.19956,77.70688,0
92,22325,12,2,3,1298,,,,1/8/2013 9:36,,0,0,1/7/2013 16:53,12.879678,77.646355,,,0
93,22489,85,,2,243,1059,,,1/7/2013 21:07,,0,0,1/7/2013 17:07,13.24373,77.70915,12.90881,77.631127,0
94,19545,85,,2,105,1068,,,1/8/2013 10:33,,1,0,1/7/2013 17:32,13.01766,77.64503,13.044009,77.606805,0
95,8919,12,1,3,293,,,,1/7/2013 18:57,1/7/2013 0:00,1,0,1/7/2013 17:33,12.849482,77.663187,,,0
96,22491,54,,2,357,463,,,1/7/2013 18:57,,0,0,1/7/2013 17:46,13.03064,77.6491,12.96037,77.58132,0
97,22493,28,,2,1045,585,,,1/7/2013 21:36,,1,0,1/7/2013 18:56,12.940238,77.589161,12.97677,77.5727,0
98,12550,12,,2,393,1261,,,1/8/2013 19:26,,0,0,1/7/2013 19:14,13.19956,77.70688,13.08324,77.480214,0
99,22496,12,,2,25,1108,,,1/7/2013 21:36,,0,0,1/7/2013 19:46,12.98059,77.57475,13.00097,77.65079,0
100,22499,12,,2,184,1384,,,1/11/2013 6:00,1/12/2013 0:00,1,0,1/7/2013 20:41,12.95871,77.56337,13.02853,77.54625,0
101,20199,65,2,3,1010,,,,1/8/2013 10:04,,0,0,1/7/2013 20:57,12.96691,77.74935,,,0
102,17888,12,1,3,849,,,,1/8/2013 7:40,1/8/2013 0:00,1,0,1/7/2013 22:17,12.95434,77.60072,,,0
103,12479,12,,2,1096,455,,,1/8/2013 18:43,,0,0,1/8/2013 0:51,12.96519,77.71932,12.999874,77.67812,0
104,22511,12,,2,433,1384,,,1/8/2013 5:02,,0,0,1/8/2013 4:29,12.91226,77.59773,13.02853,77.54625,0
105,22515,12,,2,1010,58,,,1/8/2013 8:38,,0,0,1/8/2013 8:13,12.96691,77.74935,12.88963,77.60119,0
106,22520,12,,2,768,393,,,1/9/2013 9:07,,1,0,1/8/2013 11:08,12.98999,77.55332,13.19956,77.70688,0
107,22521,28,,2,1061,393,,,1/8/2013 16:48,,0,0,1/8/2013 12:59,12.924878,77.566255,13.19956,77.70688,0
108,13265,12,,2,1281,186,,,1/9/2013 5:31,,0,0,1/8/2013 15:04,12.934634,77.611283,12.80257,77.70453,0
109,21186,12,1,3,83,,,,1/8/2013 16:33,,0,0,1/8/2013 15:53,12.92415,77.67229,,,0
110,2374,65,2,3,1294,,,,1/10/2013 9:07,,0,0,1/8/2013 16:59,12.964653,77.599573,,,0
111,20916,12,,2,253,793,,,1/8/2013 17:45,,0,0,1/8/2013 17:11,12.97635,77.61468,13.02239,77.59492,0
112,20501,12,,2,1165,1175,,,1/8/2013 18:00,,0,0,1/8/2013 17:27,12.990947,77.687112,12.959979,77.647998,0
113,22534,12,,2,1034,463,,,1/12/2013 1:26,,0,0,1/8/2013 19:13,13.047926,77.597766,12.96037,77.58132,0
114,21479,85,,2,393,308,,,1/10/2013 0:43,,0,0,1/8/2013 19:20,13.19956,77.70688,12.99049,77.69798,0
115,22536,12,,2,1122,1021,,,1/8/2013 22:04,,0,0,1/8/2013 19:25,13.02622,77.70143,13.02853,77.54625,0
116,18310,12,,2,1077,197,,,1/8/2013 21:36,,0,0,1/8/2013 19:27,12.990236,77.586393,12.9119,77.54682,0
117,22537,12,2,3,846,,,,1/9/2013 9:07,1/9/2013 0:00,1,0,1/8/2013 19:41,12.98635,77.58203,,,0
118,22270,12,1,3,601,,,,1/9/2013 8:38,,0,0,1/8/2013 20:31,13.02434,77.56593,,,0
119,22543,12,,2,112,393,,,1/9/2013 8:24,,1,0,1/8/2013 21:06,12.93331,77.56666,13.19956,77.70688,0
120,868,12,,2,1375,393,,,1/9/2013 6:00,,0,0,1/8/2013 21:18,12.94371,77.600549,13.19956,77.70688,0
121,20774,12,,2,150,393,,,1/9/2013 6:14,,0,0,1/8/2013 21:30,12.89724,77.61065,13.19956,77.70688,0
122,868,12,,2,219,1154,,,1/9/2013 6:57,,0,0,1/8/2013 21:42,12.97029,77.56597,12.87153,77.60206,0
123,22551,12,1,3,1169,,,,1/9/2013 8:24,,0,0,1/9/2013 7:32,13.018523,77.644366,,,0
124,4734,85,,2,1147,393,,,1/9/2013 12:00,,0,0,1/9/2013 7:53,13.03064,77.6491,13.19956,77.70688,0
125,22552,12,1,3,1083,,,,1/9/2013 10:48,,0,0,1/9/2013 8:59,12.900648,77.589183,,,0
126,22557,24,,2,149,1096,,,1/9/2013 11:31,,0,0,1/9/2013 9:53,12.93022,77.56039,12.96519,77.71932,0
127,22652,12,,2,1286,393,,,1/11/2013 8:24,,0,0,1/10/2013 19:13,12.973448,77.62032,13.19956,77.70688,0
128,16504,12,,2,571,585,,,1/10/2013 23:45,,1,0,1/10/2013 22:13,12.95185,77.69642,12.97677,77.5727,0
129,19390,12,,1,1323,,15,131,1/12/2013 6:00,1/13/2013 0:00,0,0,1/10/2013 22:24,12.869805,77.653211,,,0
130,22671,12,,2,463,393,,,1/11/2013 5:02,,0,0,1/10/2013 22:30,12.96037,77.58132,13.19956,77.70688,0
131,22681,12,,2,104,271,,,1/11/2013 8:24,,0,0,1/11/2013 7:33,12.93652,77.54481,12.95641,77.64076,0
132,864,12,2,3,1084,,,,1/11/2013 11:02,,0,0,1/11/2013 8:11,12.892657,77.581866,,,0
133,22682,12,,2,293,393,,,1/11/2013 10:04,,1,0,1/11/2013 8:24,12.849482,77.663187,13.19956,77.70688,0
134,21858,12,,2,1181,1038,,,1/11/2013 10:04,,0,0,1/11/2013 8:35,12.97896,77.67345,12.981266,77.637162,0
135,314,12,1,3,117,,,,1/11/2013 11:02,,0,0,1/11/2013 8:39,12.86966,77.62737,,,0
136,22492,28,,2,95,393,,,1/11/2013 18:28,,1,0,1/11/2013 9:33,13.05707,77.50716,13.19956,77.70688,0
137,15094,28,1,3,601,,,,1/11/2013 12:57,1/11/2013 0:00,1,0,1/11/2013 9:38,13.02434,77.56593,,,0
138,17888,12,,2,849,393,,,1/11/2013 19:40,,1,0,1/11/2013 9:59,12.95434,77.60072,13.19956,77.70688,0
139,21558,28,2,3,540,,,,1/11/2013 12:00,1/11/2013 0:00,1,0,1/11/2013 10:21,12.92768,77.62664,,,0
140,8272,12,,2,1192,51,,,1/11/2013 22:04,,0,0,1/11/2013 10:24,12.97677,77.5727,12.96158,77.61425,0
141,13606,12,,2,1237,1384,,,1/11/2013 19:40,1/12/2013 0:00,1,0,1/11/2013 11:02,12.92645,77.61206,13.02853,77.54625,0
142,74,12,,2,492,667,,,1/11/2013 18:00,,0,0,1/11/2013 11:38,12.851218,77.521664,12.97165,77.51316,0
143,22691,28,,2,243,484,,,1/11/2013 23:02,,0,0,1/11/2013 11:53,13.24373,77.70915,12.90013,77.48279,0
144,22695,12,,2,450,393,,,1/12/2013 6:00,,0,0,1/11/2013 13:02,12.9334,77.62652,13.19956,77.70688,0
145,868,12,,2,393,58,,,1/11/2013 15:50,,0,0,1/11/2013 13:19,13.19956,77.70688,12.88963,77.60119,0
146,7321,12,,1,1063,,15,146,1/12/2013 12:00,1/13/2013 0:00,0,0,1/11/2013 13:37,12.934477,77.611284,,,0
147,22700,12,,2,83,393,,,1/12/2013 16:33,,1,0,1/11/2013 13:59,12.92415,77.67229,13.19956,77.70688,0
148,22704,65,,2,693,393,,,1/11/2013 22:04,,0,0,1/11/2013 14:40,12.90868,77.60398,13.19956,77.70688,0
149,22704,65,2,3,693,,,,1/11/2013 22:04,,0,0,1/11/2013 15:56,12.90868,77.60398,,,0
150,22708,12,1,3,784,,,,1/11/2013 16:48,,0,0,1/11/2013 16:14,12.96634,77.60709,,,0
151,31025,12,,2,1286,1133,,,1/11/2013 23:31,,0,0,1/11/2013 16:52,12.973448,77.62032,12.9744,77.69183,0
152,22717,12,,2,1239,571,,,1/11/2013 23:31,,0,0,1/11/2013 17:40,12.97251,77.61954,12.95185,77.69642,0
153,22721,12,,2,264,1192,,,1/12/2013 21:21,,0,0,1/11/2013 18:09,12.90721,77.69544,12.97677,77.5727,0
154,30802,12,,2,502,25,,,1/11/2013 20:38,,0,0,1/11/2013 18:43,12.90084,77.56483,12.98059,77.57475,0
155,22477,12,,2,419,393,,,1/13/2013 7:55,,0,0,1/11/2013 20:08,13.051219,77.483053,13.19956,77.70688,0
156,22732,12,,2,450,393,,,1/12/2013 16:33,,0,0,1/11/2013 20:30,12.9334,77.62652,13.19956,77.70688,0
157,22733,12,,2,271,105,,,1/11/2013 22:33,,1,0,1/11/2013 20:32,12.95641,77.64076,13.01766,77.64503,0
158,22734,12,,2,1095,572,,,1/11/2013 21:21,,0,0,1/11/2013 20:37,12.92415,77.67229,12.91873,77.61494,0
159,22737,12,,2,667,585,,,1/12/2013 4:33,,0,0,1/11/2013 20:56,12.97165,77.51316,12.97677,77.5727,0
160,22743,12,,2,1010,1189,,,1/12/2013 7:12,,0,0,1/11/2013 21:48,12.96691,77.74935,12.91873,77.61494,0
161,35287,12,,2,141,1333,,,1/11/2013 23:02,,0,0,1/11/2013 22:10,12.97119,77.61477,12.895675,77.602293,0
162,22753,28,1,3,515,,,,1/12/2013 10:19,1/12/2013 0:00,1,0,1/12/2013 0:03,12.97896,77.67345,,,0
163,22754,12,,1,1058,,15,29,1/12/2013 12:00,1/14/2013 0:00,0,0,1/12/2013 0:36,12.914535,77.631658,,,0
164,13015,12,,2,414,763,,,1/12/2013 1:26,,0,0,1/12/2013 0:53,13.00397,77.59964,12.96155,77.61572,0
165,22755,12,,2,934,393,,,1/12/2013 9:07,,0,0,1/12/2013 1:22,12.92323,77.59203,13.19956,77.70688,0
166,22756,28,,2,1064,1084,,,1/12/2013 6:00,,0,0,1/12/2013 2:40,12.993978,77.585943,12.892657,77.581866,0
167,22758,28,,2,1147,393,,,1/12/2013 16:04,,1,0,1/12/2013 8:35,13.03064,77.6491,13.19956,77.70688,0
168,22758,12,2,3,1147,,,,1/12/2013 16:04,,0,0,1/12/2013 8:48,13.03064,77.6491,,,0
169,22760,12,,2,936,1017,,,1/12/2013 12:00,,0,0,1/12/2013 8:54,12.97251,77.61954,13.11084,77.60074,0
170,7391,65,2,3,136,,,,1/13/2013 9:36,,0,0,1/12/2013 9:07,12.90796,77.62418,,,0
171,18669,12,,1,466,,15,29,1/12/2013 14:24,1/13/2013 14:30,0,0,1/12/2013 9:36,13.017436,77.64458,,,0
172,9829,12,1,3,767,,,,1/12/2013 14:24,,0,0,1/12/2013 11:20,12.9122,77.51043,,,0
173,21716,12,,2,1237,330,,,1/12/2013 17:45,,0,0,1/12/2013 16:54,12.92645,77.61206,12.858833,77.589127,0
174,22780,65,,2,542,585,,,1/12/2013 18:00,,0,0,1/12/2013 16:56,12.93823,77.62289,12.97677,77.5727,0
175,22547,28,,2,1262,393,,,1/13/2013 6:00,,0,0,1/12/2013 17:28,12.81575,77.68465,13.19956,77.70688,0
176,22786,28,,2,559,393,,,1/12/2013 23:02,,0,0,1/12/2013 18:00,12.97173,77.59829,13.19956,77.70688,0
177,21901,12,1,3,58,,,,1/13/2013 9:36,1/13/2013 0:00,1,0,1/12/2013 18:01,12.88963,77.60119,,,0
178,22473,12,,2,455,571,,,1/12/2013 19:40,,0,0,1/12/2013 18:42,12.999874,77.67812,12.95185,77.69642,0
179,22791,65,,1,344,,15,108,1/14/2013 7:26,1/14/2013 7:30,0,0,1/12/2013 18:46,12.94788,77.67092,,,0
180,22792,12,,2,1017,1147,,,1/13/2013 4:04,,0,0,1/12/2013 18:48,13.11084,77.60074,13.03064,77.6491,0
181,605,12,1,3,1280,,,,1/13/2013 5:31,1/13/2013 0:00,1,0,1/12/2013 19:21,12.966054,77.717837,,,0
182,22797,12,,2,167,1017,,,1/13/2013 0:43,,0,0,1/12/2013 19:40,12.99036,77.58913,13.11084,77.60074,0
183,7500,12,2,3,112,,,,1/12/2013 21:50,,0,0,1/12/2013 19:56,12.93331,77.56666,,,0
184,16902,12,,2,1089,393,,,1/13/2013 3:07,,0,0,1/12/2013 20:04,12.99517,77.731147,13.19956,77.70688,0
185,18275,12,,2,142,484,,,1/13/2013 7:55,,1,0,1/12/2013 20:39,12.91281,77.60923,12.90013,77.48279,0
186,6831,12,,2,572,142,,,1/13/2013 6:57,,0,0,1/12/2013 22:01,12.91873,77.61494,12.91281,77.60923,0
187,22805,54,,1,1237,,15,32,1/13/2013 6:00,1/13/2013 0:00,0,0,1/12/2013 22:15,12.92645,77.61206,,,0
188,17664,12,,2,767,1234,,,1/13/2013 11:31,,1,0,1/12/2013 22:54,12.9122,77.51043,12.98635,77.58203,0
189,22793,87,2,3,1010,,,,1/13/2013 11:02,,0,0,1/12/2013 23:48,12.96691,77.74935,,,0
190,16504,12,,2,393,1192,,,1/13/2013 19:26,1/14/2013 0:00,1,0,1/13/2013 1:00,13.19956,77.70688,12.97677,77.5727,0
191,22819,12,,2,136,393,,,1/13/2013 10:04,,0,0,1/13/2013 8:42,12.90796,77.62418,13.19956,77.70688,0
192,22820,12,,2,396,393,,,1/13/2013 11:16,,0,0,1/13/2013 8:59,12.92073,77.66482,13.19956,77.70688,0
193,22822,12,,2,1388,393,,,1/14/2013 6:43,,1,0,1/13/2013 9:05,12.919722,77.592806,13.19956,77.70688,0
194,22823,65,2,3,1054,,,,1/13/2013 12:57,,0,0,1/13/2013 9:45,12.90184,77.581587,,,0
195,22815,12,,1,1173,,15,32,1/13/2013 11:02,1/13/2013 11:00,0,0,1/13/2013 9:46,12.959979,77.647998,,,0
196,22829,65,2,3,974,,,,1/13/2013 13:26,,0,0,1/13/2013 10:39,13.07557,77.55904,,,0
197,22839,12,2,3,768,,,,1/13/2013 12:28,,0,0,1/13/2013 11:44,12.98999,77.55332,,,0
198,22841,85,,2,376,393,,,1/13/2013 23:31,,0,0,1/13/2013 11:58,12.90245,77.66081,13.19956,77.70688,0
199,22849,12,,2,1384,1189,,,1/14/2013 7:26,,0,0,1/13/2013 12:55,13.02853,77.54625,12.91873,77.61494,0
200,6831,12,,2,142,214,,,1/13/2013 14:24,,0,0,1/13/2013 13:16,12.91281,77.60923,12.9822,77.60832,0
201,868,12,,2,150,393,,,1/13/2013 16:04,,0,0,1/13/2013 13:22,12.89724,77.61065,13.19956,77.70688,0
202,22853,65,,2,393,1338,,,1/14/2013 3:07,,0,0,1/13/2013 13:30,13.19956,77.70688,13.03017,77.56684,0
203,19734,28,1,3,355,,,,1/13/2013 18:28,1/13/2013 0:00,1,0,1/13/2013 14:22,12.97539,77.548048,,,0
204,22866,12,,2,571,393,,,1/13/2013 22:04,,0,0,1/13/2013 16:02,12.95185,77.69642,13.19956,77.70688,0
205,22659,12,,2,393,1264,,,1/13/2013 20:24,,0,0,1/13/2013 18:00,13.19956,77.70688,12.835737,77.679599,0
206,20340,12,,2,793,393,,,1/14/2013 7:55,,0,0,1/13/2013 18:35,13.02239,77.59492,13.19956,77.70688,0
207,22874,12,,2,142,293,,,1/13/2013 19:55,,0,0,1/13/2013 18:58,12.91281,77.60923,12.849482,77.663187,0
208,22876,12,,2,1096,1021,,,1/14/2013 6:00,,0,0,1/13/2013 19:29,12.96519,77.71932,13.02853,77.54625,0
209,22878,12,,2,667,393,,,1/28/2013 6:28,,0,0,1/13/2013 20:05,12.97165,77.51316,13.19956,77.70688,0
210,41448,12,,2,767,1384,,,1/14/2013 17:31,,1,0,1/13/2013 20:21,12.9122,77.51043,13.02853,77.54625,1
211,22930,87,2,3,105,,,,1/14/2013 3:07,,0,0,1/13/2013 20:48,13.01766,77.64503,,,0
